CustomerID,TotalRevenue
14911,84980.89
13089,36347.88
14096,36019.84
17841,32200.74
14298,24387.53
12748,20441.1
14156,18276.11
13081,17925.53
15311,17712.96
14088,15700.62
15159,14334.960000000001
17675,14162.95
15039,13964.12
12921,13030.37
17511,12117.42
17735,12077.380000000001
14646,11901.92
15498,11199.47
14051,10378.01
13098,9869.38
12681,9584.4
14194,9440.61
15856,9401.32
13408,9337.800000000001
13319,9305.39
15078,9220.62
17340,8982.7
12471,8703.38
12682,8429.54
14769,8259.55
15513,8215.22
14606,8207.41
14895,8175.24
15615,8027.4800000000005
15640,7973.33
12540,7967.64
12433,7947.37
17581,7926.01
17139,7840.87
17107,7826.28
12621,7699.9800000000005
16779,7656.4800000000005
13767,7636.66
15358,7616.46
13458,7396.57
13078,7392.89
14367,7225.1900000000005
12731,7116.69
16843,7099.72
14796,7081.17
12477,7057.34
16033,6909.12
13985,6863.2300000000005
17706,6826.93
13263,6695.64
15061,6687.17
12567,6673.58
14849,6635.39
16705,6634.37
13488,6585.43
13018,6530.12
13969,6473.63
16558,6452.22
17865,6388.72
16729,6348.52
15249,6298.46
14031,6164.41
12474,6115.2
17509,6083.64
14961,6021.2300000000005
15144,5997.62
14667,5931.84
12451,5878.31
14056,5869.21
16133,5853.43
17338,5788.77
17243,5730.54
12766,5713.12
17428,5667.59
15005,5607.36
17811,5594.68
18223,5481.32
14936,5469.07
15044,5448.25
16187,5428.56
18055,5424.71
12971,5357.93
18102,5344.04
12583,5267.89
16923,5265.91
16746,5265.54
17017,5224.44
16873,5218.74
15601,5198.57
13534,5186.38
12705,5154.4
14415,5144.24
12683,5141.41
13004,5139.96
15382,5136.82
12839,5115.12
15189,5114.18
15194,5099.79
13871,5070.75
13001,5060.35
12637,5056.84
12472,5052.03
13102,4998.69
12626,4945.49
14505,4940.0
16814,4873.4800000000005
12428,4830.43
16609,4808.900000000001
16700,4800.46
13209,4798.16
12744,4774.93
16523,4755.91
16713,4707.88
13050,4703.98
13418,4699.71
13709,4698.650000000001
15805,4665.85
18118,4641.61
15719,4629.97
16161,4613.87
17416,4601.58
15150,4592.19
12709,4585.32
14049,4584.74
16126,4571.2300000000005
13178,4569.75
15023,4469.84
17850,4462.16
17716,4455.29
14159,4426.01
12720,4424.39
16745,4417.53
18226,4400.21
14733,4398.04
13269,4350.16
14709,4341.82
14527,4319.12
14952,4315.92
17049,4300.39
17757,4296.3
14944,4288.900000000001
17652,4274.92
14191,4273.1
13668,4272.65
18225,4244.35
17602,4240.08
17068,4232.74
12490,4227.11
17315,4194.61
16931,4190.9
14735,4182.42
15786,4164.45
13013,4146.400000000001
12539,4141.6
16945,4126.04
14755,4106.17
14057,4100.97
12362,4098.94
13097,4084.6800000000003
17686,4067.48
16525,4041.79
18172,4039.5
16265,4018.51
15555,4014.34
14562,4012.62
16672,4005.3
17730,3979.48
14329,3974.03
14680,3943.2
14286,3926.34
17613,3922.42
15290,3920.12
16767,3910.87
16303,3904.43
17426,3895.29
15547,3895.23
15727,3889.91
12700,3888.64
16985,3875.84
14092,3874.81
12431,3866.05
14085,3838.85
13599,3836.91
17975,3819.2000000000003
15738,3804.94
15152,3794.9900000000002
17365,3788.79
14189,3787.7400000000002
13468,3762.89
12415,3756.06
13090,3737.11
16839,3731.29
15955,3714.51
14688,3705.92
13267,3704.69
12627,3675.3
17719,3669.72
18229,3664.7
12536,3659.97
16549,3659.3
16186,3643.08
17364,3641.2400000000002
12949,3639.92
12867,3637.29
17651,3623.63
12714,3621.0299999999997
15529,3616.38
16592,3584.33
14800,3555.27
12957,3547.04
12476,3530.83
13999,3506.81
13137,3506.77
17677,3506.64
15502,3505.42
16440,3503.27
16422,3487.44
17377,3484.42
15544,3479.21
15301,3478.54
17419,3475.62
16670,3472.7200000000003
16458,3469.3
14422,3462.69
12481,3445.7
13069,3445.14
18109,3443.77
13093,3429.4700000000003
17091,3421.37
14390,3415.92
12378,3396.64
17920,3375.62
17160,3356.97
15804,3350.18
13777,3343.69
12484,3322.58
17001,3317.16
14547,3315.76
12357,3315.41
12347,3314.73
12841,3308.77
17611,3295.32
12662,3289.4300000000003
13113,3286.14
17238,3278.1
17690,3278.02
16722,3271.29
17769,3271.08
14291,3262.5
12955,3260.2599999999998
16258,3245.31
16717,3239.63
16145,3235.35
17173,3226.9
16011,3224.48
16242,3221.08
15570,3204.18
15379,3192.81
14534,3186.6800000000003
13198,3181.55
12757,3179.0
13988,3170.07
16327,3170.06
12359,3161.58
13334,3139.07
14395,3129.21
18139,3112.86
15298,3106.88
15218,3102.65
16818,3091.15
17593,3083.48
17758,3081.55
14146,3054.55
15622,3050.79
13381,3045.75
13505,3042.26
13448,3027.5
16393,3025.84
15034,3008.01
13815,3007.46
13426,3007.02
14907,2998.58
14426,2998.21
15416,2990.0
15845,2953.07
17725,2946.2799999999997
16984,2944.9
12553,2933.7
16360,2929.14
14110,2927.37
13880,2927.18
14004,2921.96
15808,2909.07
13881,2902.56
14227,2897.32
18041,2896.07
17863,2891.44
12613,2886.4
15974,2880.81
16940,2879.89
16652,2879.15
13384,2877.66
15632,2874.85
15296,2874.4700000000003
12406,2871.78
13124,2850.53
13756,2850.44
14135,2849.29
14277,2830.32
18092,2818.12
13268,2807.06
14388,2804.56
18272,2794.96
15676,2787.22
17220,2785.73
17567,2775.57
12688,2770.04
18145,2761.12
12437,2760.54
17528,2755.06
15861,2751.17
16353,2745.05
12594,2743.43
12749,2737.73
12449,2733.84
12840,2726.77
13373,2726.17
17576,2723.0
14401,2722.94
16655,2721.36
17389,2717.48
14132,2714.17
12569,2704.69
12562,2701.7400000000002
13327,2690.07
14841,2687.08
13362,2686.64
13148,2685.36
16401,2683.04
14307,2682.61
16156,2681.6400000000003
15356,2680.48
15443,2677.03
14099,2668.76
15708,2667.2200000000003
12668,2666.0
14503,2664.66
14456,2662.98
16191,2661.2200000000003
14221,2655.95
14282,2651.88
15114,2650.16
14016,2642.62
13015,2642.29
13047,2641.31
17050,2640.84
12747,2640.41
14565,2636.81
17231,2636.2200000000003
14868,2629.2400000000002
16904,2624.73
15410,2612.19
13451,2608.66
15764,2602.27
12370,2598.66
15752,2594.4700000000003
14060,2591.62
12712,2586.98
15628,2584.34
13694,2576.61
15606,2570.92
13285,2566.02
16678,2564.91
13854,2557.92
13842,2555.65
17728,2549.93
17059,2549.16
17450,2545.34
12597,2544.07
16764,2538.85
17799,2534.95
12779,2523.53
16712,2515.83
15484,2513.27
14112,2505.16
13971,2502.56
17685,2499.56
14535,2492.68
13139,2473.04
12388,2466.7000000000003
15998,2464.11
12727,2461.52
13536,2451.61
14257,2451.6
16477,2450.7200000000003
13869,2446.95
14258,2439.26
12685,2437.65
15694,2436.7599999999998
17069,2422.9500000000003
13199,2420.0
14107,2413.2200000000003
13136,2408.51
18077,2404.95
16019,2397.83
14903,2386.43
13437,2384.36
12444,2382.56
14125,2376.73
16607,2374.72
14121,2370.56
14546,2366.38
13901,2365.83
15125,2362.7
15491,2358.59
17659,2354.81
17682,2353.4900000000002
14702,2345.54
15687,2344.23
15228,2337.55
16626,2337.14
14262,2337.11
17164,2336.2
14572,2333.51
15046,2332.68
13588,2331.81
15981,2328.48
17183,2326.41
16081,2321.37
16556,2316.6
12429,2313.04
14659,2302.78
13952,2300.811
12910,2297.02
16497,2296.79
13422,2292.0
13266,2290.61
14062,2289.89
17644,2287.71
16241,2287.15
15033,2283.85
14766,2282.42
16686,2273.28
16871,2267.2400000000002
12480,2266.94
18245,2266.43
13654,2261.97
13141,2260.53
16633,2259.55
13804,2256.49
14842,2250.64
15867,2246.76
14525,2245.81
12578,2242.96
15993,2239.98
15696,2235.91
14299,2234.89
15291,2234.16
15065,2234.06
17346,2230.29
14852,2228.7400000000002
13552,2227.55
13975,2224.15
12473,2218.95
13471,2210.64
14243,2205.13
18259,2203.6000000000004
16253,2191.18
13771,2188.72
15271,2183.04
13523,2181.58
16255,2180.61
14175,2177.5
14732,2177.19
15482,2176.88
12517,2176.85
16570,2176.71
13883,2176.33
17213,2176.2000000000003
14032,2173.0099999999998
15750,2171.15
13340,2161.56
13555,2159.94
17449,2154.31
12417,2151.75
14713,2147.15
13895,2144.67
18075,2141.4900000000002
13769,2138.4700000000003
13798,2138.11
17491,2138.03
17700,2135.39
13862,2131.96
17739,2131.35
13993,2127.26
16710,2122.44
13949,2119.84
14639,2119.57
12708,2117.96
15365,2115.7200000000003
18260,2112.46
13680,2109.54
12721,2108.19
12598,2103.43
17084,2101.58
17442,2100.79
12670,2087.47
17589,2085.62
17530,2084.2
16837,2083.25
15288,2074.12
16743,2072.65
15321,2062.64
12520,2061.56
17965,2060.67
15755,2059.84
17858,2056.11
16240,2055.47
15673,2054.26
15903,2050.44
14493,2047.03
15796,2046.21
16905,2036.51
13230,2036.45
17314,2036.24
14626,2035.8200000000002
14810,2035.53
18230,2032.9
13115,2029.06
16358,2027.5
14432,2025.91
15514,2024.0
16701,2023.07
17434,2021.72
18198,2018.14
17954,2017.57
15235,2015.51
14315,2014.03
13571,2013.89
18257,2012.26
17672,2010.42
16379,2006.68
13722,2004.68
16076,2002.96
13994,2002.19
13394,1999.09
14239,1996.75
18283,1996.68
12600,1996.22
13174,1994.53
15187,1994.24
13507,1991.61
12753,1988.77
15854,1986.7300000000002
14844,1986.51
16131,1984.6399999999999
14290,1983.2
14530,1982.45
14825,1979.3100000000002
13644,1979.0900000000001
18097,1977.94
13735,1969.29
16628,1963.05
12856,1960.03
16057,1955.47
13758,1955.39
16735,1949.05
13908,1948.9
16143,1948.19
15521,1946.36
16550,1934.1000000000001
16180,1928.33
14502,1914.94
14040,1910.76
15811,1910.63
12432,1909.68
18210,1907.18
15089,1906.6100000000001
15505,1903.86
15281,1900.68
13742,1895.66
13435,1894.06
12948,1892.3600000000001
15665,1887.45
17625,1885.15
13527,1878.75
16293,1877.74
12656,1873.35
13911,1872.71
12408,1869.47
17272,1868.67
16928,1867.22
12501,1866.66
14554,1863.18
14691,1861.94
14341,1858.47
13021,1855.96
15465,1854.59
18069,1852.42
12935,1851.55
12395,1844.57
12647,1843.87
12360,1843.16
16150,1841.32
16455,1841.18
13700,1840.13
13517,1839.49
17131,1839.1200000000001
16168,1838.22
15058,1836.89
17071,1836.0800000000002
14334,1829.61
15674,1823.6100000000001
14250,1823.13
14854,1821.58
16128,1819.27
15123,1818.6299999999999
13704,1817.8
14408,1816.03
15984,1815.66
17838,1812.06
12782,1811.47
14305,1811.16
13890,1807.46
15093,1807.28
16771,1807.19
13224,1804.92
16316,1803.72
18065,1803.16
17228,1798.95
17211,1798.93
13576,1797.66
14251,1796.8200000000002
17191,1795.56
17504,1794.82
13048,1793.91
17444,1789.94
14711,1786.67
18241,1786.64
16782,1786.3500000000001
12916,1785.8
13126,1783.57
13317,1781.8300000000002
14180,1779.8200000000002
15704,1778.3700000000001
14309,1766.45
13632,1764.3700000000001
14188,1763.8600000000001
14211,1761.15
15203,1757.4
12438,1753.1200000000001
17696,1751.63
17827,1751.3600000000001
14696,1750.74
12518,1750.09
15641,1749.32
12560,1746.16
15572,1745.99
17015,1743.84
15394,1743.69
16201,1739.92
12928,1739.74
12380,1738.25
16409,1737.14
13658,1735.85
15105,1728.99
15819,1728.57
14360,1722.63
12397,1720.01
12524,1719.21
13365,1718.8700000000001
13495,1716.07
13870,1713.04
16938,1712.49
17667,1708.07
18094,1705.46
13196,1704.03
17512,1702.6100000000001
14701,1702.59
15518,1700.88
17469,1695.97
16841,1692.7
16912,1691.08
15367,1690.8500000000001
13344,1684.29
16474,1681.0900000000001
13481,1680.26
15531,1677.6000000000001
16709,1667.8300000000002
14292,1665.33
16210,1664.8
12963,1664.06
12456,1663.24
18204,1655.2
17061,1653.0
17790,1652.25
16169,1651.8200000000002
14640,1651.76
17088,1651.6100000000001
14215,1650.47
15594,1648.5
